anio,mes,variacion_pct,fuente
2017,4,2.6,INDEC
2017,5,1.3,INDEC
2017,6,1.2,INDEC
2017,7,1.7,INDEC
2017,8,1.4,INDEC
2017,9,1.9,INDEC
2017,10,1.5,INDEC
2017,11,1.4,INDEC
2017,12,3.1,INDEC
2018,1,1.8,INDEC
2018,2,2.4,INDEC
2018,3,2.3,INDEC
2018,4,2.7,INDEC
2018,5,2.1,INDEC
2018,6,3.7,INDEC
2018,7,3.1,INDEC
2018,8,3.9,INDEC
2018,9,6.5,INDEC
2018,10,5.4,INDEC
2018,11,3.2,INDEC
2018,12,2.6,INDEC
2019,1,2.9,INDEC
2019,2,3.8,INDEC
2019,3,4.7,INDEC
2019,4,3.4,INDEC
2019,5,3.1,INDEC
2019,6,2.7,INDEC
2019,7,2.2,INDEC
2019,8,4.0,INDEC
2019,9,5.9,INDEC
2019,10,3.3,INDEC
2019,11,4.3,INDEC
2019,12,3.7,INDEC
2020,1,2.3,INDEC
2020,2,2.0,INDEC
2020,3,3.3,INDEC
2020,4,1.5,INDEC
2020,5,1.5,INDEC
2020,6,2.2,INDEC
2020,7,1.9,INDEC
2020,8,2.7,INDEC
2020,9,2.8,INDEC
2020,10,3.8,INDEC
2020,11,3.2,INDEC
2020,12,4.0,INDEC
2021,1,4.0,INDEC
2021,2,3.6,INDEC
2021,3,4.8,INDEC
2021,4,4.1,INDEC
2021,5,3.3,INDEC
2021,6,3.2,INDEC
2021,7,3.0,INDEC
2021,8,2.5,INDEC
2021,9,3.5,INDEC
2021,10,3.5,INDEC
2021,11,2.5,INDEC
2021,12,3.8,INDEC
2022,1,3.9,INDEC
2022,2,4.7,INDEC
2022,3,6.7,INDEC
2022,4,6.0,INDEC
2022,5,5.1,INDEC
2022,6,5.3,INDEC
2022,7,7.4,INDEC
2022,8,7.0,INDEC
2022,9,6.2,INDEC
2022,10,6.3,INDEC
2022,11,4.9,INDEC
2022,12,5.1,INDEC
2023,1,6.0,INDEC
2023,2,6.6,INDEC
2023,3,7.7,INDEC
2023,4,8.4,INDEC
2023,5,7.8,INDEC
2023,6,6.0,INDEC
2023,7,6.3,INDEC
2023,8,12.4,INDEC
2023,9,12.7,INDEC
2023,10,8.3,INDEC
2023,11,12.8,INDEC
2023,12,25.5,INDEC
2024,1,20.6,INDEC
2024,2,13.2,INDEC
2024,3,11.0,INDEC
2024,4,8.8,INDEC
2024,5,4.2,INDEC
2024,6,4.6,INDEC
2024,7,4.0,INDEC
2024,8,4.2,INDEC
2024,9,3.5,INDEC
2024,10,2.7,INDEC
2024,11,2.4,INDEC
2024,12,2.7,INDEC
2025,1,2.2,INDEC
2025,2,2.4,INDEC
2025,3,3.7,INDEC
2025,4,2.8,INDEC
2025,5,1.5,INDEC
2025,6,1.6,INDEC
2025,7,1.9,INDEC
2025,8,1.9,INDEC
2025,9,2.1,INDEC
2025,10,2.3,INDEC
2025,11,2.5,INDEC
2025,12,2.8,INDEC
2026,1,2.9,INDEC
2026,2,2.9,INDEC
2026,3,3.4,INDEC
2026,4,2.6,INDEC
